timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-16 13:31:23,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+1,0.34,2005-01-01,2024-12-31,2022-01-01,0.945,0.776,1.0,0.705,0.934,0.821,180,93,52,0
2025-11-16 13:31:23,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+2,0.33,2005-01-01,2024-12-31,2022-01-01,0.929,0.749,0.988,0.67,0.909,0.808,170,96,57,2
2025-11-16 13:31:23,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+3,0.33,2005-01-01,2024-12-31,2022-01-01,0.894,0.717,0.952,0.593,0.823,0.776,160,94,63,8
2025-11-16 13:31:23,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+4,0.37,2005-01-01,2024-12-31,2022-01-01,0.853,0.711,0.898,0.536,0.767,0.756,150,97,61,17
2025-11-16 13:31:23,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+5,0.26,2005-01-01,2024-12-31,2022-01-01,0.86,0.641,0.94,0.445,0.719,0.692,157,70,88,10
2025-11-16 13:31:23,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+6,0.22,2005-01-01,2024-12-31,2022-01-01,0.867,0.629,0.958,0.432,0.668,0.677,161,62,95,7
2025-11-16 13:33:57,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+1,0.25,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.951,0.796,1.0,0.737,0.941,0.841,180,99,46,0
2025-11-16 13:33:57,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+2,0.32,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.932,0.759,0.988,0.685,0.904,0.818,170,99,54,2
2025-11-16 13:33:57,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+3,0.35,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.898,0.731,0.952,0.615,0.83,0.788,160,98,59,8
2025-11-16 13:33:57,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+4,0.36,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.851,0.704,0.898,0.525,0.773,0.75,150,95,63,17
2025-11-16 13:33:57,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+5,0.26,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.864,0.642,0.946,0.453,0.725,0.695,158,70,88,9
2025-11-16 13:33:57,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+6,0.34,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.829,0.632,0.899,0.383,0.667,0.669,151,69,88,17
2025-11-16 13:36:46,France_level_2_final,Ensemble (mean weight) top 5 models_TH_auto_not_equal_weight,Month+1,0.2,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.951,0.796,1.0,0.737,0.951,0.841,180,99,46,0
2025-11-16 13:36:46,France_level_2_final,Ensemble (mean weight) top 5 models_TH_auto_not_equal_weight,Month+2,0.45,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.947,0.81,0.988,0.759,0.904,0.863,170,113,40,2
2025-11-16 13:36:46,France_level_2_final,Ensemble (mean weight) top 5 models_TH_auto_not_equal_weight,Month+3,0.38,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.902,0.744,0.952,0.636,0.837,0.801,160,102,55,8
2025-11-16 13:36:46,France_level_2_final,Ensemble (mean weight) top 5 models_TH_auto_not_equal_weight,Month+4,0.41,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.846,0.685,0.898,0.492,0.779,0.731,150,89,69,17
2025-11-16 13:36:46,France_level_2_final,Ensemble (mean weight) top 5 models_TH_auto_not_equal_weight,Month+5,0.19,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.861,0.655,0.934,0.469,0.73,0.708,156,76,82,11
2025-11-16 13:36:46,France_level_2_final,Ensemble (mean weight) top 5 models_TH_auto_not_equal_weight,Month+6,0.18,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.868,0.621,0.964,0.419,0.674,0.667,162,58,99,6
2025-11-16 17:03:41,Greece_level_3_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+1,0.16,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.999,0.994,1.0,0.986,1.0,0.989,174,44,1,0
2025-11-16 17:03:41,Greece_level_3_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+2,0.19,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.998,0.989,1.0,0.972,1.0,0.978,174,43,2,0
2025-11-16 17:03:41,Greece_level_3_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+3,0.22,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.998,0.989,1.0,0.972,1.0,0.978,174,43,2,0
2025-11-16 17:03:41,Greece_level_3_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+4,0.19,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.992,0.961,1.0,0.901,1.0,0.922,174,38,7,0
2025-11-16 17:03:41,Greece_level_3_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+5,0.22,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.998,0.989,1.0,0.972,1.0,0.978,174,43,2,0
